Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Atelier Mug - Dusty Rose,atelier-mug-dusty-rose,Atelier Mug - Dusty Rose is a thoughtfully styled mug designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Mug,"Atelier, Mug, Dusty Rose, Home Decor, Gift Idea",TRUE,Active,SA-028,8800000000028,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,38,DENY,400,g,TRUE,manual,https://picsum.photos/seed/atelier-mug-dusty-rose/1200/1200,1,Atelier Mug - Dusty Rose product image,,FALSE,Atelier Mug - Dusty Rose | Southern Aura Studio,"Shop Atelier Mug - Dusty Rose, a beautifully designed mug with a soft, elevated aesthetic.",#EFDCE0; #B47A87; #FFF8F8,Home & Garden > Decor,,Adult,SA-028,Atelier Mug,Dusty Rose,New,FALSE,Generated Catalog,Mug,,,
Atelier Mug - Forest Clay,atelier-mug-forest-clay,Atelier Mug - Forest Clay is a thoughtfully styled mug designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Mug,"Atelier, Mug, Forest Clay, Home Decor, Gift Idea",TRUE,Active,SA-029,8800000000029,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,41,DENY,445,g,TRUE,manual,https://picsum.photos/seed/atelier-mug-forest-clay/1200/1200,1,Atelier Mug - Forest Clay product image,,FALSE,Atelier Mug - Forest Clay | Southern Aura Studio,"Shop Atelier Mug - Forest Clay, a beautifully designed mug with a soft, elevated aesthetic.",#DCE2D7; #718163; #F7FAF5,Home & Garden > Decor,,Adult,SA-029,Atelier Mug,Forest Clay,New,FALSE,Generated Catalog,Mug,,,
Atelier Mug - Honey Sand,atelier-mug-honey-sand,Atelier Mug - Honey Sand is a thoughtfully styled mug designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Mug,"Atelier, Mug, Honey Sand, Home Decor, Gift Idea",TRUE,Active,SA-030,8800000000030,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,44,DENY,220,g,TRUE,manual,https://picsum.photos/seed/atelier-mug-honey-sand/1200/1200,1,Atelier Mug - Honey Sand product image,,FALSE,Atelier Mug - Honey Sand | Southern Aura Studio,"Shop Atelier Mug - Honey Sand, a beautifully designed mug with a soft, elevated aesthetic.",#F5E5C6; #C69C59; #FFF9EF,Home & Garden > Decor,,Adult,SA-030,Atelier Mug,Honey Sand,New,FALSE,Generated Catalog,Mug,,,
Canvas Tote - Market Stripe,canvas-tote-market-stripe,Canvas Tote - Market Stripe is a thoughtfully styled tote designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Tote,"Canvas, Tote, Market Stripe, Home Decor, Gift Idea",TRUE,Active,SA-031,8800000000031,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,47,DENY,265,g,TRUE,manual,https://picsum.photos/seed/canvas-tote-market-stripe/1200/1200,1,Canvas Tote - Market Stripe product image,,FALSE,Canvas Tote - Market Stripe | Southern Aura Studio,"Shop Canvas Tote - Market Stripe, a beautifully designed tote with a soft, elevated aesthetic.",#EFE9DE; #8E795B; #FCFBF7,Home & Garden > Decor,,Adult,SA-031,Canvas Tote,Market Stripe,New,FALSE,Generated Catalog,Tote,,,
Canvas Tote - Olive Shore,canvas-tote-olive-shore,Canvas Tote - Olive Shore is a thoughtfully styled tote designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Tote,"Canvas, Tote, Olive Shore, Home Decor, Gift Idea",TRUE,Active,SA-032,8800000000032,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,50,DENY,310,g,TRUE,manual,https://picsum.photos/seed/canvas-tote-olive-shore/1200/1200,1,Canvas Tote - Olive Shore product image,,FALSE,Canvas Tote - Olive Shore | Southern Aura Studio,"Shop Canvas Tote - Olive Shore, a beautifully designed tote with a soft, elevated aesthetic.",#DDE3D8; #6B7D60; #F7FAF5,Home & Garden > Decor,,Adult,SA-032,Canvas Tote,Olive Shore,New,FALSE,Generated Catalog,Tote,,,
Canvas Tote - Berry Check,canvas-tote-berry-check,Canvas Tote - Berry Check is a thoughtfully styled tote designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Tote,"Canvas, Tote, Berry Check, Home Decor, Gift Idea",TRUE,Active,SA-033,8800000000033,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,20,DENY,355,g,TRUE,manual,https://picsum.photos/seed/canvas-tote-berry-check/1200/1200,1,Canvas Tote - Berry Check product image,,FALSE,Canvas Tote - Berry Check | Southern Aura Studio,"Shop Canvas Tote - Berry Check, a beautifully designed tote with a soft, elevated aesthetic.",#F0D9DF; #A96375; #FFF8FA,Home & Garden > Decor,,Adult,SA-033,Canvas Tote,Berry Check,New,FALSE,Generated Catalog,Tote,,,
Canvas Tote - Sky Grid,canvas-tote-sky-grid,Canvas Tote - Sky Grid is a thoughtfully styled tote designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Tote,"Canvas, Tote, Sky Grid, Home Decor, Gift Idea",TRUE,Active,SA-034,8800000000034,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,23,DENY,400,g,TRUE,manual,https://picsum.photos/seed/canvas-tote-sky-grid/1200/1200,1,Canvas Tote - Sky Grid product image,,FALSE,Canvas Tote - Sky Grid | Southern Aura Studio,"Shop Canvas Tote - Sky Grid, a beautifully designed tote with a soft, elevated aesthetic.",#DDEAF5; #6A90B0; #F7FBFD,Home & Garden > Decor,,Adult,SA-034,Canvas Tote,Sky Grid,New,FALSE,Generated Catalog,Tote,,,
Canvas Tote - Sun Wash,canvas-tote-sun-wash,Canvas Tote - Sun Wash is a thoughtfully styled tote designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Tote,"Canvas, Tote, Sun Wash, Home Decor, Gift Idea",TRUE,Active,SA-035,8800000000035,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,26,DENY,445,g,TRUE,manual,https://picsum.photos/seed/canvas-tote-sun-wash/1200/1200,1,Canvas Tote - Sun Wash product image,,FALSE,Canvas Tote - Sun Wash | Southern Aura Studio,"Shop Canvas Tote - Sun Wash, a beautifully designed tote with a soft, elevated aesthetic.",#F7E1B8; #D19B38; #FFF9EE,Home & Garden > Decor,,Adult,SA-035,Canvas Tote,Sun Wash,New,FALSE,Generated Catalog,Tote,,,
Desk Journal - Moonstone Gray,desk-journal-moonstone-gray,Desk Journal - Moonstone Gray is a thoughtfully styled journal designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Journal,"Desk, Journal, Moonstone Gray, Home Decor, Gift Idea",TRUE,Active,SA-036,8800000000036,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,29,DENY,220,g,TRUE,manual,https://picsum.photos/seed/desk-journal-moonstone-gray/1200/1200,1,Desk Journal - Moonstone Gray product image,,FALSE,Desk Journal - Moonstone Gray | Southern Aura Studio,"Shop Desk Journal - Moonstone Gray, a beautifully designed journal with a soft, elevated aesthetic.",#E6E5E3; #8D8A84; #FCFBFA,Home & Garden > Decor,,Adult,SA-036,Desk Journal,Moonstone Gray,New,FALSE,Generated Catalog,Journal,,,
Desk Journal - Botanical Green,desk-journal-botanical-green,Desk Journal - Botanical Green is a thoughtfully styled journal designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Journal,"Desk, Journal, Botanical Green, Home Decor, Gift Idea",TRUE,Active,SA-037,8800000000037,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,32,DENY,265,g,TRUE,manual,https://picsum.photos/seed/desk-journal-botanical-green/1200/1200,1,Desk Journal - Botanical Green product image,,FALSE,Desk Journal - Botanical Green | Southern Aura Studio,"Shop Desk Journal - Botanical Green, a beautifully designed journal with a soft, elevated aesthetic.",#DDE6D9; #6D8662; #F7FAF6,Home & Garden > Decor,,Adult,SA-037,Desk Journal,Botanical Green,New,FALSE,Generated Catalog,Journal,,,
Desk Journal - Rose Dune,desk-journal-rose-dune,Desk Journal - Rose Dune is a thoughtfully styled journal designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Journal,"Desk, Journal, Rose Dune, Home Decor, Gift Idea",TRUE,Active,SA-038,8800000000038,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,35,DENY,310,g,TRUE,manual,https://picsum.photos/seed/desk-journal-rose-dune/1200/1200,1,Desk Journal - Rose Dune product image,,FALSE,Desk Journal - Rose Dune | Southern Aura Studio,"Shop Desk Journal - Rose Dune, a beautifully designed journal with a soft, elevated aesthetic.",#EFDCE0; #B57B89; #FFF8F8,Home & Garden > Decor,,Adult,SA-038,Desk Journal,Rose Dune,New,FALSE,Generated Catalog,Journal,,,
Desk Journal - Ocean Ink,desk-journal-ocean-ink,Desk Journal - Ocean Ink is a thoughtfully styled journal designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Journal,"Desk, Journal, Ocean Ink, Home Decor, Gift Idea",TRUE,Active,SA-039,8800000000039,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,38,DENY,355,g,TRUE,manual,https://picsum.photos/seed/desk-journal-ocean-ink/1200/1200,1,Desk Journal - Ocean Ink product image,,FALSE,Desk Journal - Ocean Ink | Southern Aura Studio,"Shop Desk Journal - Ocean Ink, a beautifully designed journal with a soft, elevated aesthetic.",#DAE6F0; #587D9A; #F5FAFD,Home & Garden > Decor,,Adult,SA-039,Desk Journal,Ocean Ink,New,FALSE,Generated Catalog,Journal,,,
Desk Journal - Golden Hour,desk-journal-golden-hour,Desk Journal - Golden Hour is a thoughtfully styled journal designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Journal,"Desk, Journal, Golden Hour, Home Decor, Gift Idea",TRUE,Active,SA-040,8800000000040,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,41,DENY,400,g,TRUE,manual,https://picsum.photos/seed/desk-journal-golden-hour/1200/1200,1,Desk Journal - Golden Hour product image,,FALSE,Desk Journal - Golden Hour | Southern Aura Studio,"Shop Desk Journal - Golden Hour, a beautifully designed journal with a soft, elevated aesthetic.",#F6E4BE; #CC9E4C; #FFF9EF,Home & Garden > Decor,,Adult,SA-040,Desk Journal,Golden Hour,New,FALSE,Generated Catalog,Journal,,,
Meadow Soap Set - Fresh Basil,meadow-soap-set-fresh-basil,Meadow Soap Set - Fresh Basil is a thoughtfully styled soap set designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Soap Set,"Meadow, Soap Set, Fresh Basil, Home Decor, Gift Idea",TRUE,Active,SA-041,8800000000041,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,44,DENY,445,g,TRUE,manual,https://picsum.photos/seed/meadow-soap-set-fresh-basil/1200/1200,1,Meadow Soap Set - Fresh Basil product image,,FALSE,Meadow Soap Set - Fresh Basil | Southern Aura Studio,"Shop Meadow Soap Set - Fresh Basil, a beautifully designed soap set with a soft, elevated aesthetic.",#DFE8D9; #729163; #F7FAF6,Home & Garden > Decor,,Adult,SA-041,Meadow Soap Set,Fresh Basil,New,FALSE,Generated Catalog,Soap Set,,,
Meadow Soap Set - Apricot Bloom,meadow-soap-set-apricot-bloom,Meadow Soap Set - Apricot Bloom is a thoughtfully styled soap set designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Soap Set,"Meadow, Soap Set, Apricot Bloom, Home Decor, Gift Idea",TRUE,Active,SA-042,8800000000042,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,47,DENY,220,g,TRUE,manual,https://picsum.photos/seed/meadow-soap-set-apricot-bloom/1200/1200,1,Meadow Soap Set - Apricot Bloom product image,,FALSE,Meadow Soap Set - Apricot Bloom | Southern Aura Studio,"Shop Meadow Soap Set - Apricot Bloom, a beautifully designed soap set with a soft, elevated aesthetic.",#F6DFD4; #D58B6A; #FFF8F5,Home & Garden > Decor,,Adult,SA-042,Meadow Soap Set,Apricot Bloom,New,FALSE,Generated Catalog,Soap Set,,,
Meadow Soap Set - Pear Nectar,meadow-soap-set-pear-nectar,Meadow Soap Set - Pear Nectar is a thoughtfully styled soap set designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Soap Set,"Meadow, Soap Set, Pear Nectar, Home Decor, Gift Idea",TRUE,Active,SA-043,8800000000043,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,50,DENY,265,g,TRUE,manual,https://picsum.photos/seed/meadow-soap-set-pear-nectar/1200/1200,1,Meadow Soap Set - Pear Nectar product image,,FALSE,Meadow Soap Set - Pear Nectar | Southern Aura Studio,"Shop Meadow Soap Set - Pear Nectar, a beautifully designed soap set with a soft, elevated aesthetic.",#EEF1D0; #A1AD54; #FBFDEE,Home & Garden > Decor,,Adult,SA-043,Meadow Soap Set,Pear Nectar,New,FALSE,Generated Catalog,Soap Set,,,
Meadow Soap Set - Blue Chamomile,meadow-soap-set-blue-chamomile,Meadow Soap Set - Blue Chamomile is a thoughtfully styled soap set designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Soap Set,"Meadow, Soap Set, Blue Chamomile, Home Decor, Gift Idea",TRUE,Active,SA-044,8800000000044,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,20,DENY,310,g,TRUE,manual,https://picsum.photos/seed/meadow-soap-set-blue-chamomile/1200/1200,1,Meadow Soap Set - Blue Chamomile product image,,FALSE,Meadow Soap Set - Blue Chamomile | Southern Aura Studio,"Shop Meadow Soap Set - Blue Chamomile, a beautifully designed soap set with a soft, elevated aesthetic.",#DDE8F2; #6B90B6; #F6FBFD,Home & Garden > Decor,,Adult,SA-044,Meadow Soap Set,Blue Chamomile,New,FALSE,Generated Catalog,Soap Set,,,
Meadow Soap Set - Sandal Cream,meadow-soap-set-sandal-cream,Meadow Soap Set - Sandal Cream is a thoughtfully styled soap set designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Soap Set,"Meadow, Soap Set, Sandal Cream, Home Decor, Gift Idea",TRUE,Active,SA-045,8800000000045,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,23,DENY,355,g,TRUE,manual,https://picsum.photos/seed/meadow-soap-set-sandal-cream/1200/1200,1,Meadow Soap Set - Sandal Cream product image,,FALSE,Meadow Soap Set - Sandal Cream | Southern Aura Studio,"Shop Meadow Soap Set - Sandal Cream, a beautifully designed soap set with a soft, elevated aesthetic.",#EFE4D5; #B49269; #FDF9F4,Home & Garden > Decor,,Adult,SA-045,Meadow Soap Set,Sandal Cream,New,FALSE,Generated Catalog,Soap Set,,,
Woven Table Runner - Drift Beige,woven-table-runner-drift-beige,Woven Table Runner - Drift Beige is a thoughtfully styled table runner designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Table Runner,"Woven, Table Runner, Drift Beige, Home Decor, Gift Idea",TRUE,Active,SA-046,8800000000046,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,26,DENY,400,g,TRUE,manual,https://picsum.photos/seed/woven-table-runner-drift-beige/1200/1200,1,Woven Table Runner - Drift Beige product image,,FALSE,Woven Table Runner - Drift Beige | Southern Aura Studio,"Shop Woven Table Runner - Drift Beige, a beautifully designed table runner with a soft, elevated aesthetic.",#F0E7DB; #AA9472; #FCFAF7,Home & Garden > Decor,,Adult,SA-046,Woven Table Runner,Drift Beige,New,FALSE,Generated Catalog,Table Runner,,,
Woven Table Runner - Sea Glass,woven-table-runner-sea-glass,Woven Table Runner - Sea Glass is a thoughtfully styled table runner designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Table Runner,"Woven, Table Runner, Sea Glass, Home Decor, Gift Idea",TRUE,Active,SA-047,8800000000047,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,29,DENY,445,g,TRUE,manual,https://picsum.photos/seed/woven-table-runner-sea-glass/1200/1200,1,Woven Table Runner - Sea Glass product image,,FALSE,Woven Table Runner - Sea Glass | Southern Aura Studio,"Shop Woven Table Runner - Sea Glass, a beautifully designed table runner with a soft, elevated aesthetic.",#D8ECEB; #649E9A; #F3FBFB,Home & Garden > Decor,,Adult,SA-047,Woven Table Runner,Sea Glass,New,FALSE,Generated Catalog,Table Runner,,,
Woven Table Runner - Ochre Line,woven-table-runner-ochre-line,Woven Table Runner - Ochre Line is a thoughtfully styled table runner designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Table Runner,"Woven, Table Runner, Ochre Line, Home Decor, Gift Idea",TRUE,Active,SA-048,8800000000048,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,32,DENY,220,g,TRUE,manual,https://picsum.photos/seed/woven-table-runner-ochre-line/1200/1200,1,Woven Table Runner - Ochre Line product image,,FALSE,Woven Table Runner - Ochre Line | Southern Aura Studio,"Shop Woven Table Runner - Ochre Line, a beautifully designed table runner with a soft, elevated aesthetic.",#F4E0B9; #C58E36; #FFF9EE,Home & Garden > Decor,,Adult,SA-048,Woven Table Runner,Ochre Line,New,FALSE,Generated Catalog,Table Runner,,,
Woven Table Runner - Fern Stripe,woven-table-runner-fern-stripe,Woven Table Runner - Fern Stripe is a thoughtfully styled table runner designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Table Runner,"Woven, Table Runner, Fern Stripe, Home Decor, Gift Idea",TRUE,Active,SA-049,8800000000049,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,35,DENY,265,g,TRUE,manual,https://picsum.photos/seed/woven-table-runner-fern-stripe/1200/1200,1,Woven Table Runner - Fern Stripe product image,,FALSE,Woven Table Runner - Fern Stripe | Southern Aura Studio,"Shop Woven Table Runner - Fern Stripe, a beautifully designed table runner with a soft, elevated aesthetic.",#DCE5D8; #6B825C; #F7FAF5,Home & Garden > Decor,,Adult,SA-049,Woven Table Runner,Fern Stripe,New,FALSE,Generated Catalog,Table Runner,,,
Woven Table Runner - Clay Rose,woven-table-runner-clay-rose,Woven Table Runner - Clay Rose is a thoughtfully styled table runner designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Table Runner,"Woven, Table Runner, Clay Rose, Home Decor, Gift Idea",TRUE,Active,SA-050,8800000000050,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,38,DENY,310,g,TRUE,manual,https://picsum.photos/seed/woven-table-runner-clay-rose/1200/1200,1,Woven Table Runner - Clay Rose product image,,FALSE,Woven Table Runner - Clay Rose | Southern Aura Studio,"Shop Woven Table Runner - Clay Rose, a beautifully designed table runner with a soft, elevated aesthetic.",#F2DDD9; #B97972; #FFF8F7,Home & Garden > Decor,,Adult,SA-050,Woven Table Runner,Clay Rose,New,FALSE,Generated Catalog,Table Runner,,,
